type	weight	section_a	section_b	shared_pointers
xref	14	zshbuiltins:SHELL BUILTIN COMMANDS	zshmisc:*	zshmisc
xref	8	zshoptions:DESCRIPTION OF OPTIONS	zshmisc:*	zshmisc
xref	4	zshparam:ARRAY PARAMETERS	zshexpn:*	zshexpn
xref	4	zshbuiltins:SHELL BUILTIN COMMANDS	zshoptions:*	zshoptions
xref	3	zshoptions:DESCRIPTION OF OPTIONS	zshmisc:EXPANSION OF PROMPT SEQUENCES	“EXPANSION OF PROMPT SEQUENCES”
xref	3	zshbuiltins:SHELL BUILTIN COMMANDS	zshparam:*	zshparam
xref	2	zshexpn:HISTORY EXPANSION	zshmisc:*	zshmisc
xref	2	zshexpn:PARAMETER EXPANSION	zshparam:*	zshparam
xref	2	zshparam:ARRAY PARAMETERS	zshexpn:PARAMETER EXPANSION	“Parameter Expansion Flags”
xref	2	zshparam:PARAMETERS USED BY THE SHELL	zshexpn:*	zshexpn
xref	2	zshoptions:DESCRIPTION OF OPTIONS	zshexpn:*	zshexpn
xref	2	zshbuiltins:SHELL BUILTIN COMMANDS	zshexpn:*	zshexpn
xref	2	zshbuiltins:SHELL BUILTIN COMMANDS	zshmisc:EXPANSION OF PROMPT SEQUENCES	“EXPANSION OF PROMPT SEQUENCES”
xref	1	zshmisc:SIMPLE COMMANDS & PIPELINES	zshparam:*	zshparam
xref	1	zshmisc:COMPLEX COMMANDS	zshbuiltins:*	zshbuiltins
xref	1	zshmisc:REDIRECTION	zshexpn:*	zshexpn
xref	1	zshmisc:SPECIAL FUNCTIONS	zshbuiltins:*	zshbuiltins
xref	1	zshmisc:SIGNALS	zshexpn:*	zshexpn
xref	1	zshmisc:CONDITIONAL EXPRESSIONS	zshexpn:*	zshexpn
xref	1	zshmisc:CONDITIONAL EXPRESSIONS	zshmisc:ARITHMETIC EVALUATION	“ARITHMETIC EVALUATION”
xref	1	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshexpn:*	zshexpn
xref	1	zshmisc:SIMPLE PROMPT ESCAPES	zshexpn:*	zshexpn
xref	1	zshexpn:DESCRIPTION	zshmisc:*	zshmisc
xref	1	zshexpn:HISTORY EXPANSION	zshmisc:EXPANSION OF PROMPT SEQUENCES	“EXPANSION OF PROMPT SEQUENCES”
xref	1	zshexpn:HISTORY EXPANSION	zshexpn:FILENAME GENERATION	“FILENAME GENERATION”
xref	1	zshexpn:HISTORY EXPANSION	zshoptions:SINGLE LETTER OPTIONS	“Also note”
xref	1	zshexpn:PROCESS SUBSTITUTION	zshmisc:*	zshmisc
xref	1	zshexpn:PROCESS SUBSTITUTION	zshoptions:SINGLE LETTER OPTIONS	“Also note”
xref	1	zshexpn:PARAMETER EXPANSION	zshmisc:*	zshmisc
xref	1	zshexpn:PARAMETER EXPANSION	zshmisc:EXPANSION OF PROMPT SEQUENCES	“EXPANSION OF PROMPT SEQUENCES”
xref	1	zshexpn:PARAMETER EXPANSION	zshexpn:FILENAME EXPANSION	“FILENAME EXPANSION”
xref	1	zshexpn:FILENAME GENERATION	zshparam:*	zshparam
xref	1	zshparam:DESCRIPTION	zshmisc:*	zshmisc
xref	1	zshparam:DESCRIPTION	zshexpn:*	zshexpn
xref	1	zshparam:ARRAY PARAMETERS	zshoptions:*	zshoptions
xref	1	zshparam:ARRAY PARAMETERS	zshmisc:*	zshmisc
xref	1	zshparam:PARAMETERS SET BY THE SHELL	zshbuiltins:*	zshbuiltins
xref	1	zshparam:PARAMETERS SET BY THE SHELL	zshmisc:*	zshmisc
xref	1	zshparam:PARAMETERS USED BY THE SHELL	zshmisc:*	zshmisc
xref	1	zshparam:PARAMETERS USED BY THE SHELL	zshmisc:EXPANSION OF PROMPT SEQUENCES	“EXPANSION OF PROMPT SEQUENCES”
xref	1	zshparam:PARAMETERS USED BY THE SHELL	zshoptions:SINGLE LETTER OPTIONS	“Also note”
xref	1	zshoptions:DESCRIPTION OF OPTIONS	zshbuiltins:*	zshbuiltins
xref	1	zshoptions:DESCRIPTION OF OPTIONS	zshmisc:RESERVED WORDS	“RESERVED WORDS”
xref	1	zshoptions:DESCRIPTION OF OPTIONS	zshmisc:SPECIAL FUNCTIONS	“SPECIAL FUNCTIONS”
xref	1	zshbuiltins:SHELL BUILTIN COMMANDS	zshexpn:FILENAME EXPANSION	“Static named directories”
entity	72	zshoptions:DESCRIPTION OF OPTIONS	zshbuiltins:SHELL BUILTIN COMMANDS	POSIX EXIT DEBUG SAVEHIST CHASE_LINKS DEBUG_BEFORE_CMD KSH_GLOB ERR_EXIT
entity	47	zshoptions:DESCRIPTION OF OPTIONS	zshoptions:SINGLE LETTER OPTIONS	SHIN_STDIN XTRACE PRIVILEGED ERR_EXIT RESTRICTED MONITOR INTERACTIVE CHASE_LINKS
entity	34	zshparam:PARAMETERS USED BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS	PROMPT CORRECT_ALL ASCII MULTIBYTE SAVEHIST EXTENDED_GLOB PROMPT_CR HISTSIZE
entity	22	zshparam:PARAMETERS USED BY THE SHELL	zshbuiltins:SHELL BUILTIN COMMANDS	PATH SAVEHIST PROMPT HOME MULTIBYTE HISTFILE EDITOR FCEDIT
entity	21	zshexpn:FILENAME GENERATION	zshoptions:DESCRIPTION OF OPTIONS	MATCH KSH_GLOB MULTIBYTE GLOB_DOTS MULTIBYTE_SUPPORT NOMATCH EXTENDED_GLOB BARE_GLOB_QUAL
entity	19	zshexpn:PARAMETER EXPANSION	zshoptions:DESCRIPTION OF OPTIONS	KSH_ARRAYS EXPANSION MULTIBYTE POSIX_IDENTIFIERS PROMPT_BANG EXTENDED_GLOB PROMPT PROMPT_PERCENT
entity	16	zshexpn:FILENAME GENERATION	zshbuiltins:SHELL BUILTIN COMMANDS	EXTENDED_GLOB KSH_GLOB MULTIBYTE KSH_ARRAYS REPLY
entity	15	zshmisc:CONDITIONAL EXPRESSIONS	zshoptions:DESCRIPTION OF OPTIONS	BASH_REMATCH MATCH KSH_ARRAYS ASCII PCRE EXTENDED_GLOB EVALUATION POSIX_BUILTINS
entity	12	zshexpn:FILENAME GENERATION	zshparam:PARAMETERS USED BY THE SHELL	REPLY MULTIBYTE MBEGIN MATCH MEND EXTENDED_GLOB WORDCHARS ASCII
entity	11	zshexpn:PARAMETER EXPANSION	zshbuiltins:SHELL BUILTIN COMMANDS	MULTIBYTE EXPANSION KSH_ARRAYS PATH PROMPT EXTENDED_GLOB SEQUENCES
entity	11	zshoptions:SINGLE LETTER OPTIONS	zshbuiltins:SHELL BUILTIN COMMANDS	ERR_EXIT CHASE_LINKS PUSHD_TO_HOME CDABLE_VARS PUSHD_SILENT PATH_DIRS SHIN_STDIN INTERACTIVE
entity	10	zshexpn:PARAMETER EXPANSION	zshparam:PARAMETERS USED BY THE SHELL	MULTIBYTE PATH PROMPT EXTENDED_GLOB EXPANSION PROMPT_PERCENT SEQUENCES ASCII
entity	10	zshoptions:DESCRIPTION OF OPTIONS	zshoptions:OPTION ALIASES	HASH_CMDS CHASE_LINKS GLOB_DOTS APPEND_HISTORY SHIN_STDIN BANG_HIST SINGLE_COMMAND MAIL_WARNING
entity	9	zshexpn:HISTORY EXPANSION	zshoptions:DESCRIPTION OF OPTIONS	CHASE_LINKS CSH_JUNKIE_HISTORY HIST_SUBST_PATTERN EXPANSION PROMPT EXTENDED_GLOB SEQUENCES CHASE_DOTS
entity	9	zshparam:PARAMETERS SET BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS	EXIT KSH_AUTOLOAD USERNAME FUNCTION_ARGZERO OPTIND POSIX SIGINT POSIX_ARGZERO
entity	9	zshparam:PARAMETERS SET BY THE SHELL	zshbuiltins:SHELL BUILTIN COMMANDS	LINENO EXIT KSH_AUTOLOAD FUNCTION_ARGZERO STTY OPTIND POSIX OPTARG
entity	8	zshmisc:SPECIAL FUNCTIONS	zshbuiltins:SHELL BUILTIN COMMANDS	TRAPNAL HISTFILE DEBUG_BEFORE_CMD SIGERR SHARE_HISTORY POSIX TRAPDEBUG
entity	8	zshexpn:PARAMETER EXPANSION	zshparam:ARRAY PARAMETERS	KSH_ARRAYS GLOB_SUBST
