shared	section_a	section_b	connectors
7	zshoptions:DESCRIPTION OF OPTIONS	zshoptions:SINGLE LETTER OPTIONS	CORRECT SHIN_STDIN ZLE MENU_COMPLETE XTRACE RC_EXPAND_PARAM ERR_EXIT
7	zshmisc:CONDITIONAL EXPRESSIONS	zshoptions:DESCRIPTION OF OPTIONS	PCRE BASH_REMATCH MATCH POSIX EXTENDED_GLOB KSH_ARRAYS zshexpn
6	zshexpn:PARAMETER EXPANSION	zshoptions:DESCRIPTION OF OPTIONS	Filename Generation RC_EXPAND_PARAM Filename Expansion GLOB_SUBST MULTIBYTE KSH_ARRAYS
6	zshbuiltins:SHELL BUILTIN COMMANDS	zshparam:PARAMETERS USED BY THE SHELL	zshmodules zshzle HISTSIZE zshmisc EXTENDED_GLOB zshexpn
5	zshoptions:DESCRIPTION OF OPTIONS	zshparam:PARAMETERS USED BY THE SHELL	bindkey zshmisc MULTIBYTE EXTENDED_GLOB zshexpn
5	zshexpn:FILENAME GENERATION	zshexpn:PARAMETER EXPANSION	POSIX_IDENTIFIERS IFS zshparam MULTIBYTE KSH_ARRAYS
5	zshexpn:FILENAME EXPANSION	zshexpn:FILENAME GENERATION	mend match reply mbegin NOMATCH
5	zshbuiltins:SHELL BUILTIN COMMANDS	zshoptions:DESCRIPTION OF OPTIONS	ZERR zshmisc POSIX EXTENDED_GLOB zshexpn
4	zshmisc:ERRORS	zshparam:LOCAL PARAMETERS	declare export local typeset
4	zshmisc:COMPLEX COMMANDS	zshmisc:RESERVED WORDS	case for if while
4	zshexpn:PARAMETER EXPANSION	zshparam:ARRAY PARAMETERS	subscript GLOB_SUBST arithmetic expansion KSH_ARRAYS
4	zshexpn:PARAMETER EXPANSION	zshmisc:EXPANSION OF PROMPT SEQUENCES	PROMPT_PERCENT PROMPT_SUBST command substitution arithmetic expansion
4	zshexpn:HISTORY EXPANSION	zshexpn:PARAMETER EXPANSION	SEQUENCES Modifiers EXPANSION PROMPT
4	zshexpn:FILENAME GENERATION	zshoptions:SINGLE LETTER OPTIONS	NULL_GLOB MARK_DIRS LIST_TYPES GLOB_DOTS
4	zshexpn:FILENAME GENERATION	zshoptions:DESCRIPTION OF OPTIONS	MATCH MULTIBYTE EXTENDED_GLOB KSH_ARRAYS
4	zshexpn:DESCRIPTION	zshexpn:PARAMETER EXPANSION	Brace Expansion History Expansion Filename Expansion Filename Generation
4	zshbuiltins:SHELL BUILTIN COMMANDS	zshoptions:SINGLE LETTER OPTIONS	PUSHD_SILENT PATH_DIRS CDABLE_VARS CHASE_LINKS
4	zshbuiltins:SHELL BUILTIN COMMANDS	zshmisc:CONDITIONAL EXPRESSIONS	POSIX_BUILTINS POSIX EXTENDED_GLOB zshexpn
4	zshbuiltins:SHELL BUILTIN COMMANDS	zshexpn:HISTORY EXPANSION	HISTSIZE CHASE_LINKS PATH EXTENDED_GLOB
