section_file	term	status
refs/sections/zshexpn__filename-generation.txt	GLOB	PRESENT
refs/sections/zshexpn__filename-generation.txt	EXTENDED_GLOB	PRESENT
refs/sections/zshexpn__filename-generation.txt	NULL_GLOB	PRESENT
refs/sections/zshexpn__filename-generation.txt	NOMATCH	PRESENT
refs/sections/zshexpn__filename-generation.txt	GLOB_DOTS	PRESENT
refs/sections/zshexpn__filename-generation.txt	KSH_GLOB	PRESENT
refs/sections/zshexpn__filename-generation.txt	SH_GLOB	PRESENT
refs/sections/zshexpn__filename-generation.txt	POSIX_IDENTIFIERS	PRESENT
refs/sections/zshexpn__filename-generation.txt	IFS	PRESENT
refs/sections/zshexpn__filename-generation.txt	WORDCHARS	PRESENT
refs/sections/zshexpn__filename-generation.txt	match	PRESENT
refs/sections/zshexpn__filename-generation.txt	mbegin	PRESENT
refs/sections/zshexpn__filename-generation.txt	mend	PRESENT
refs/sections/zshexpn__filename-generation.txt	KSH_ARRAYS	PRESENT
refs/sections/zshexpn__filename-generation.txt	MULTIBYTE_SUPPORT	PRESENT
refs/sections/zshexpn__filename-generation.txt	MULTIBYTE	PRESENT
refs/sections/zshexpn__filename-generation.txt	backreferences	PRESENT
refs/sections/zshexpn__filename-generation.txt	GLOB_STAR_SHORT	PRESENT
refs/sections/zshexpn__filename-generation.txt	BARE_GLOB_QUAL	PRESENT
refs/sections/zshexpn__filename-generation.txt	zsh_eval_context	PRESENT
refs/sections/zshexpn__filename-generation.txt	REPLY	PRESENT
refs/sections/zshexpn__filename-generation.txt	reply	PRESENT
refs/sections/zshexpn__filename-generation.txt	ksh	PRESENT
refs/sections/zshexpn__filename-generation.txt	nt	PRESENT
refs/sections/zshexpn__filename-generation.txt	NTREF	PRESENT
refs/sections/zshexpn__filename-generation.txt	NUMERIC_GLOB_SORT	PRESENT
refs/sections/zshexpn__filename-generation.txt	LIST_TYPES	PRESENT
refs/sections/zshexpn__filename-generation.txt	MARK_DIRS	PRESENT
refs/sections/zshexpn__filename-generation.txt	zshparam	PRESENT
refs/sections/zshoptions__single-letter-options.txt	CORRECT	PRESENT
refs/sections/zshoptions__single-letter-options.txt	PRINT_EXIT_VALUE	PRESENT
refs/sections/zshoptions__single-letter-options.txt	NO_BAD_PATTERN	PRESENT
refs/sections/zshoptions__single-letter-options.txt	NO_NOMATCH	PRESENT
refs/sections/zshoptions__single-letter-options.txt	GLOB_DOTS	PRESENT
refs/sections/zshoptions__single-letter-options.txt	NOTIFY	PRESENT
refs/sections/zshoptions__single-letter-options.txt	BG_NICE	PRESENT
refs/sections/zshoptions__single-letter-options.txt	IGNORE_EOF	PRESENT
refs/sections/zshoptions__single-letter-options.txt	MARK_DIRS	PRESENT
refs/sections/zshoptions__single-letter-options.txt	AUTO_LIST	PRESENT
refs/sections/zshoptions__single-letter-options.txt	NO_BEEP	PRESENT
refs/sections/zshoptions__single-letter-options.txt	NO_CLOBBER	PRESENT
refs/sections/zshoptions__single-letter-options.txt	PUSHD_TO_HOME	PRESENT
refs/sections/zshoptions__single-letter-options.txt	PUSHD_SILENT	PRESENT
refs/sections/zshoptions__single-letter-options.txt	NO_GLOB	PRESENT
refs/sections/zshoptions__single-letter-options.txt	NULL_GLOB	PRESENT
refs/sections/zshoptions__single-letter-options.txt	RM_STAR_SILENT	PRESENT
refs/sections/zshoptions__single-letter-options.txt	IGNORE_BRACES	PRESENT
refs/sections/zshoptions__single-letter-options.txt	AUTO_CD	PRESENT
refs/sections/zshoptions__single-letter-options.txt	NO_BANG_HIST	PRESENT
refs/sections/zshoptions__single-letter-options.txt	SUN_KEYBOARD_HACK	PRESENT
refs/sections/zshoptions__single-letter-options.txt	SINGLE_LINE_ZLE	PRESENT
refs/sections/zshoptions__single-letter-options.txt	AUTO_PUSHD	PRESENT
refs/sections/zshoptions__single-letter-options.txt	CORRECT_ALL	PRESENT
refs/sections/zshoptions__single-letter-options.txt	RC_EXPAND_PARAM	PRESENT
refs/sections/zshoptions__single-letter-options.txt	PATH_DIRS	PRESENT
refs/sections/zshoptions__single-letter-options.txt	LONG_LIST_JOBS	PRESENT
refs/sections/zshoptions__single-letter-options.txt	REC_EXACT	PRESENT
refs/sections/zshoptions__single-letter-options.txt	CDABLE_VARS	PRESENT
refs/sections/zshoptions__single-letter-options.txt	MAIL_WARNING	PRESENT
refs/sections/zshoptions__single-letter-options.txt	NO_PROMPT_CR	PRESENT
refs/sections/zshoptions__single-letter-options.txt	AUTO_RESUME	PRESENT
refs/sections/zshoptions__single-letter-options.txt	LIST_TYPES	PRESENT
refs/sections/zshoptions__single-letter-options.txt	MENU_COMPLETE	PRESENT
refs/sections/zshoptions__single-letter-options.txt	ZLE	PRESENT
refs/sections/zshoptions__single-letter-options.txt	ALL_EXPORT	PRESENT
refs/sections/zshoptions__single-letter-options.txt	ERR_EXIT	PRESENT
refs/sections/zshoptions__single-letter-options.txt	NO_RCS	PRESENT
refs/sections/zshoptions__single-letter-options.txt	HIST_IGNORE_SPACE	PRESENT
refs/sections/zshoptions__single-letter-options.txt	HIST_IGNORE_DUPS	PRESENT
refs/sections/zshoptions__single-letter-options.txt	INTERACTIVE	PRESENT
refs/sections/zshoptions__single-letter-options.txt	INTERACTIVE_COMMENTS	PRESENT
refs/sections/zshoptions__single-letter-options.txt	LOGIN	PRESENT
refs/sections/zshoptions__single-letter-options.txt	MONITOR	PRESENT
refs/sections/zshoptions__single-letter-options.txt	NO_EXEC	PRESENT
refs/sections/zshoptions__single-letter-options.txt	PRIVILEGED	PRESENT
refs/sections/zshoptions__single-letter-options.txt	RESTRICTED	PRESENT
refs/sections/zshoptions__single-letter-options.txt	SHIN_STDIN	PRESENT
refs/sections/zshoptions__single-letter-options.txt	SINGLE_COMMAND	PRESENT
refs/sections/zshoptions__single-letter-options.txt	NO_UNSET	PRESENT
refs/sections/zshoptions__single-letter-options.txt	VERBOSE	PRESENT
refs/sections/zshoptions__single-letter-options.txt	CHASE_LINKS	PRESENT
refs/sections/zshoptions__single-letter-options.txt	XTRACE	PRESENT
refs/sections/zshoptions__single-letter-options.txt	SH_WORD_SPLIT	PRESENT
refs/sections/zshoptions__single-letter-options.txt	TRAPS_ASYNC	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	EXTENDED_GLOB	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	typeset -T	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	zshexpn	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	CORRECT_ALL	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	CORRECT_IGNORE	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	CORRECT_IGNORE_FILE	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	AUTO_PUSHD	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	DIRSTACKSIZE	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	HIST_EXPIRE_DUPS_FIRST	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	HISTSIZE	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	HIST_NO_STORE	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	zshaddhistory	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	MULTIBYTE	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	SINGLE_LINE_ZLE	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	zshzle	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	PROMPT_CR	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	PROMPT_SP	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	PROMPT_PERCENT	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	zshmisc	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	REPORTMEMORY	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	REPORTTIME	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	KEYBOARD_HACK	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	SUNKEYBOARDHACK	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	zshmodules	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	bindkey	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	zsh/zle	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	NOBEEP	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	LC_CTYPE	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	LC_NUMERIC	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	LC_COLLATE	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	LC_TIME	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	LC_MESSAGES	PRESENT
refs/sections/zshparam__parameters-used-by-the-shell.txt	zshcompsys	PRESENT
refs/sections/zshmisc__arithmetic-evaluation.txt	let	PRESENT
refs/sections/zshmisc__arithmetic-evaluation.txt	((...))	PRESENT
refs/sections/zshmisc__arithmetic-evaluation.txt	arithmetic expansion	PRESENT
refs/sections/zshmisc__arithmetic-evaluation.txt	C_BASES	PRESENT
refs/sections/zshmisc__arithmetic-evaluation.txt	OCTAL_ZEROES	PRESENT
refs/sections/zshmisc__arithmetic-evaluation.txt	base#n	PRESENT
refs/sections/zshmisc__arithmetic-evaluation.txt	[#base]	PRESENT
refs/sections/zshmisc__arithmetic-evaluation.txt	C_PRECEDENCES	PRESENT
refs/sections/zshmisc__arithmetic-evaluation.txt	zsh/mathfunc	PRESENT
refs/sections/zshmisc__arithmetic-evaluation.txt	zmodload	PRESENT
refs/sections/zshmisc__arithmetic-evaluation.txt	float	PRESENT
refs/sections/zshmisc__arithmetic-evaluation.txt	integer	PRESENT
refs/sections/zshmisc__arithmetic-evaluation.txt	typeset	PRESENT
