type	weight	node_a	node_b	shared
entity	11	zshmisc:CONDITIONAL EXPRESSIONS	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	BASH_REMATCH MATCH ASCII KSH_ARRAYS POSIX_BUILTINS
entity	10	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshparam:PARAMETERS USED BY THE SHELL	MULTIBYTE PROMPT ASCII PROMPT_PERCENT PATH
entity	9	zshparam:PARAMETERS USED BY THE SHELL	zshbuiltins:SHELL BUILTIN COMMANDS › fc -ARWI [ filename ]	SAVEHIST PROMPT HISTSIZE FCEDIT EDITOR
entity	9	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	zshbuiltins:SHELL BUILTIN COMMANDS › trap [ arg ] [ sig ... ]	DEBUG DEBUG_BEFORE_CMD ERR_EXIT LINENO ZERR
entity	8	zshparam:PARAMETERS USED BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS › Prompting	PROMPT PROMPT_EOL_MARK PROMPT_CR PROMPT_SP PROMPT_PERCENT
entity	8	zshoptions:DESCRIPTION OF OPTIONS › Input/Output	zshoptions:SINGLE LETTER OPTIONS › Default set	MAIL_WARNING CORRECT_ALL PRINT_EXIT_VALUE PATH_DIRS INTERACTIVE_COMMENTS
entity	7	zshmisc:CONDITIONAL EXPRESSIONS	zshexpn:FILENAME GENERATION › Globbing Flags	MATCH ASCII MEND MBEGIN KSH_ARRAYS
entity	7	zshexpn:PARAMETER EXPANSION	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	KSH_ARRAYS POSIX_IDENTIFIERS MULTIBYTE
entity	7	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshoptions:DESCRIPTION OF OPTIONS › Prompting	EXPANSION PROMPT_BANG PROMPT PROMPT_SUBST PROMPT_PERCENT
entity	7	zshexpn:FILENAME GENERATION › Glob Operators	zshbuiltins:SHELL BUILTIN COMMANDS › disable [ -afmprs ] name ...	EXTENDED_GLOB KSH_GLOB
entity	7	zshexpn:FILENAME GENERATION › Globbing Flags	zshparam:PARAMETERS USED BY THE SHELL	MULTIBYTE MATCH ASCII MEND MBEGIN
entity	7	zshparam:PARAMETERS SET BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	USERNAME KSH_AUTOLOAD EXIT FUNCTION_ARGZERO POSIX_ARGZERO
entity	7	zshoptions:DESCRIPTION OF OPTIONS › Changing Directories	zshoptions:SINGLE LETTER OPTIONS › Default set	CDABLE_VARS PUSHD_TO_HOME AUTO_PUSHD PUSHD_SILENT CHASE_LINKS
entity	7	zshoptions:DESCRIPTION OF OPTIONS › Changing Directories	zshbuiltins:SHELL BUILTIN COMMANDS › cd [ -qsLP ] {+|-}n	POSIX_CD CHASE_LINKS HOME PUSHD_MINUS CDABLE_VARS
entity	7	zshoptions:DESCRIPTION OF OPTIONS › History	zshbuiltins:SHELL BUILTIN COMMANDS › fc -ARWI [ filename ]	SAVEHIST HISTFILE SHARE_HISTORY HISTSIZE
entity	6	zshmisc:CONDITIONAL EXPRESSIONS	zshparam:PARAMETERS USED BY THE SHELL	ASCII MATCH MEND MBEGIN EXTENDED_GLOB
entity	6	zshexpn:FILENAME GENERATION › Glob Qualifiers	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	GLOB_DOTS BARE_GLOB_QUAL NUMERIC_GLOB_SORT MARK_DIRS NULL_GLOB
entity	6	zshparam:PARAMETERS USED BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS › History	SAVEHIST HIST_EXPIRE_DUPS_FIRST HISTSIZE HISTFILE HIST_NO_STORE
entity	6	zshparam:PARAMETERS USED BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	ASCII MULTIBYTE NULLCMD MATCH READNULLCMD
entity	6	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	zshoptions:SINGLE LETTER OPTIONS › Default set	VERBOSE PRINT_EXIT_VALUE XTRACE RESTRICTED ERR_EXIT
entity	6	zshoptions:DESCRIPTION OF OPTIONS › Shell State	zshoptions:SINGLE LETTER OPTIONS › Default set	INTERACTIVE LOGIN RESTRICTED SINGLE_COMMAND PRIVILEGED
entity	5	zshmisc:REDIRECTIONS WITH NO COMMAND	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	NULLCMD READNULLCMD CSH_NULLCMD
entity	5	zshexpn:PARAMETER EXPANSION	zshparam:ARRAY PARAMETERS › Subscript Flags	KSH_ARRAYS GLOB_SUBST
entity	5	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshexpn:FILENAME GENERATION › Globbing Flags	MULTIBYTE ASCII KSH_ARRAYS EXTENDED_GLOB
entity	5	zshexpn:FILENAME GENERATION	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	GLOB_DOTS GLOB NOMATCH NULL_GLOB EXTENDED_GLOB
entity	5	zshexpn:FILENAME GENERATION › Globbing Flags	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	MATCH ASCII MULTIBYTE KSH_ARRAYS
entity	5	zshexpn:FILENAME GENERATION › Glob Qualifiers	zshparam:PARAMETERS USED BY THE SHELL	REPLY EXTENDED_GLOB
entity	5	zshparam:ARRAY PARAMETERS › Array Subscripts	zshparam:ARRAY PARAMETERS › Subscript Flags	KSH_ARRAYS KSH_ZERO_SUBSCRIPT
entity	5	zshparam:ARRAY PARAMETERS › Array Subscripts	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	KSH_ARRAYS KSH_ZERO_SUBSCRIPT
entity	5	zshparam:ARRAY PARAMETERS › Subscript Flags	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	KSH_ARRAYS KSH_ZERO_SUBSCRIPT
